.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age
22,7,249,7,7,5,['k'],['d'],N,N,None,Y,46,48,22,,,,F,19
22,8,250,8,8,6,['k'],['k'],Y,,,,,,,,,,F,19
22,9,251,2,2,6,['d'],['d'],Y,,,,,,,,,,F,19
22,10,252,3,3,6,['k'],['k'],Y,N,None,Y,,,,,,,F,19
23,0,253,6,6,6,['d'],['k'],N,Y,None,N,,,,,,,F,19
23,1,254,4,4,6,['k'],['k'],Y,N,None,Y,,,,,,,F,19
23,2,255,0,0,6,['d'],['d'],Y,N,None,Y,,,,,,,F,19
23,3,256,3,3,6,['k'],['k'],Y,N,None,Y,,,,,,,F,19
23,4,257,3,3,6,['d'],['d'],Y,N,None,Y,,,,,,,F,19
23,5,258,3,3,6,['k'],['k'],Y,N,None,Y,,,,,,,F,19
23,6,259,5,5,6,['d'],['k'],N,Y,['space'],Y,,,,,,,F,19
23,7,260,6,6,6,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
23,8,261,0,0,6,['d'],['d'],Y,Y,None,N,,,,,,,F,19
23,9,262,2,2,6,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
23,10,263,6,6,6,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
24,0,264,5,5,6,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
24,1,265,3,3,6,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
24,2,266,6,6,6,['d'],['d'],Y,N,None,Y,,,,,,,F,19
24,3,267,3,3,6,['k'],['k'],Y,N,None,Y,,,,,,,F,19
24,4,268,5,5,6,['d'],['d'],Y,Y,None,N,,,,,,,F,19
24,5,269,10,10,6,['k'],['k'],Y,N,None,Y,,,,,,,F,19
24,6,270,3,3,6,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
24,7,271,3,3,6,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
24,8,272,1,1,6,['k'],['k'],Y,N,None,Y,,,,,,,F,19
24,9,273,9,9,6,['d'],['d'],Y,N,None,Y,,,,,,,F,19
24,10,274,1,1,6,['k'],['k'],Y,N,None,Y,,,,,,,F,19
25,0,275,9,9,6,['d'],['d'],Y,N,None,Y,,,,,,,F,19
25,1,276,5,5,6,['k'],['k'],Y,N,None,Y,,,,,,,F,19
25,2,277,0,0,6,['d'],['d'],Y,N,None,Y,,,,,,,F,19
25,3,278,1,1,6,['d'],['d'],Y,N,None,Y,,,,,,,F,19
25,4,279,2,2,6,['k'],['k'],Y,N,None,Y,,,,,,,F,19
25,5,280,5,5,6,['d'],['d'],Y,Y,None,N,,,,,,,F,19
25,6,281,6,6,6,['k'],['k'],Y,Y,None,N,,,,,,,F,19
25,7,282,9,9,6,['k'],['d'],N,N,None,Y,,,,,,,F,19
25,8,283,10,10,6,['d'],['d'],Y,N,None,Y,,,,,,,F,19
25,9,284,3,3,6,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
25,10,285,9,9,6,['d'],['d'],Y,N,None,Y,,,,,,,F,19
26,0,286,7,7,6,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
26,1,287,6,6,6,['k'],['k'],Y,N,None,Y,,,,,,,F,19
26,2,288,3,3,6,['k'],['k'],Y,N,None,Y,,,,,,,F,19
26,3,289,3,3,6,['d'],['k'],N,Y,['space'],Y,,,,,,,F,19
26,4,290,10,10,6,['k'],['k'],Y,N,None,Y,,,,,,,F,19
26,5,291,8,8,6,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
26,6,292,3,3,6,['d'],['d'],Y,N,None,Y,,,,,,,F,19
26,7,293,1,1,6,['k'],['k'],Y,N,None,Y,,,,,,,F,19
26,8,294,2,2,6,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
26,9,295,10,10,6,['d'],['k'],N,Y,['space'],Y,,,,,,,F,19
26,10,296,10,10,6,['d'],['d'],Y,N,None,Y,,,,,,,F,19
27,0,297,9,9,6,['d'],['d'],Y,N,None,Y,,,,,,,F,19
27,1,298,10,10,6,['d'],['d'],Y,N,None,Y,,,,,,,F,19
27,2,299,4,4,6,['d'],['d'],Y,N,None,Y,45,43,19,,,,F,19
27,3,300,0,0,7,['d'],['d'],Y,,,,,,,,,,F,19
27,4,301,10,10,7,['d'],['d'],Y,,,,,,,,,,F,19
27,5,302,7,7,7,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
